sample_id	cluster_id	size	mean	std
4_lc	0	470	1.841643607015389e-54	1.3570717029749714e-28
3_ec	0	470	1.1938838948860099e-53	3.4552625007168555e-28
2_ad	0	470	5.411639096511728e-54	2.326292994554153e-28
1_h	0	470	5.624919476729417e-52	2.3716912692695516e-27
4_lc	1	22	0.5567337147654556	0.1388190658866708
3_ec	1	22	0.5119864634956307	0.043124648228017766
2_ad	1	22	0.5167292888831787	0.05895799493048717
1_h	1	22	0.5216321094458278	0.0882886889647937
4_lc	2	77	1.6569542903911787e-11	4.07057034448216e-07
3_ec	2	77	1.388177974365327e-11	3.725826050894557e-07
2_ad	2	77	0.5033537700706	0.015205356133181875
1_h	2	77	5.262488715594522e-09	7.254299550247607e-06
4_lc	3	27	8.107576080148137e-06	0.0002848504855526041
3_ec	3	27	0.5008853865852986	0.025073938173031315
2_ad	3	27	7.933895330839389e-06	0.0002817805462388926
1_h	3	27	9.244185889531014e-06	0.00030417942370562464
4_lc	4	40	2.7460513038063634e-07	5.2403471719818825e-05
3_ec	4	40	2.6354749877059275e-07	5.133752823089394e-05
2_ad	4	40	2.786423740430505e-07	5.278729426766009e-05
1_h	4	40	0.4424757133653878	0.024221930301426997
4_lc	5	42	0.5052731731473308	0.020400412303615313
3_ec	5	42	1.6211256847644265e-07	4.0263518448842604e-05
2_ad	5	42	1.5900353004847543e-07	3.98755510902499e-05
1_h	5	42	1.7620602624588284e-07	4.197725664949862e-05
