sample_id	cluster_id	size	mean	std
4_lc	0	470	8.299113105575479e-60	2.8808181312910886e-31
3_ec	0	470	5.2539136149180595e-59	7.248388520849348e-31
2_ad	0	470	2.8584915286928356e-59	5.346486256124517e-31
1_h	0	470	4.437321753066335e-57	6.661322506129196e-30
4_lc	1	22	0.578609169473891	0.16794134965456772
3_ec	1	22	0.5078062200224441	0.04067260184147387
2_ad	1	22	0.513959618815857	0.061054149694659735
1_h	1	22	0.5256783635219117	0.10501202626825118
4_lc	2	77	1.982940535574889e-12	1.408169214240726e-07
3_ec	2	77	1.6165318987849384e-12	1.2714290774653685e-07
2_ad	2	77	0.4997905570818638	0.013835974730711431
1_h	2	77	8.181985497134395e-10	2.860416907895111e-06
4_lc	3	27	3.832631599644179e-06	0.00019580748007491213
3_ec	3	27	0.4970834550310242	0.022635333398534
2_ad	3	27	3.7380092788471833e-06	0.00019337437940353453
1_h	3	27	4.457614155836344e-06	0.00021117629069469663
4_lc	4	40	9.115097537821997e-08	3.0191351395734646e-05
3_ec	4	40	8.693000603683777e-08	2.948401747546049e-05
2_ad	4	40	9.266626727653984e-08	3.0441269434605586e-05
1_h	4	40	0.4389750755743368	0.0221664796528425
4_lc	5	42	0.501691643143034	0.018573204668906856
3_ec	5	42	5.090916385319067e-08	2.2563113955780315e-05
2_ad	5	42	4.9777818470788965e-08	2.2310996141692186e-05
1_h	5	42	5.605440979583064e-08	2.3675875827720694e-05
