sample_id	cluster_id	size	mean	std
2_ad_versionB	0	87	7.020165091102626e-38	2.6495594145258615e-20
4_lc_versionB	0	87	4.795575360855041e-38	2.1898802160974564e-20
1_h_versionB	0	87	1.7450645412396358e-36	1.3210089103558824e-19
3_ec_versionB	0	87	2.450554679177341e-38	1.565424759986037e-20
2_ad_versionB	1	41	4.301890455792759e-20	2.0740999146118207e-11
4_lc_versionB	1	41	0.4992821951373348	0.008665900024291033
1_h_versionB	1	41	6.662911428597676e-20	2.5812615963124857e-11
3_ec_versionB	1	41	4.3174434906479685e-20	2.077845877501017e-11
2_ad_versionB	2	15	3.663602566789093e-09	6.0527787066630976e-06
4_lc_versionB	2	15	4.309493537924821e-09	6.564684890261965e-06
1_h_versionB	2	15	8.169959670561891e-09	9.038809688432291e-06
3_ec_versionB	2	15	0.4910086170890118	0.013059126768490227
2_ad_versionB	3	27	3.596475475304763e-14	1.8964375749529278e-08
4_lc_versionB	3	27	3.560954720165052e-14	1.887049209890272e-08
1_h_versionB	3	27	0.4337852019358689	0.011127385800397824
3_ec_versionB	3	27	3.2970263085767116e-14	1.8157715464531514e-08
2_ad_versionB	4	16	0.7594931865009731	0.24132359202929674
4_lc_versionB	4	16	0.5018633627166335	0.018714016711262986
1_h_versionB	4	16	0.5005990372603484	0.04162739853317516
3_ec_versionB	4	16	0.7601795827956795	0.24127671174345658
2_ad_versionB	5	1	0.5765021419182241	0.09372416373644049
4_lc_versionB	5	1	0.0072130992590372055	0.011993564930878367
1_h_versionB	5	1	0.7162395235841559	0.21911187791617873
3_ec_versionB	5	1	0.0072130992590372055	0.011993564930878367
